row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,row_idx_L1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align_L2,val_accuracy,val_recall,val_precision,val_AUC,compute_cost
326,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,0.5,2,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.9273223876953125,0.8703210234642029,0.9005792260169982,0.9723696708679199,72.19631953239441
5866,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,0.5,27,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9317652463912964,0.8670845031738281,0.9153009176254272,0.9744688034057617,69.56135210990905
8726,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,0.5,39,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,18,0.925155508518219,0.8788756132125854,0.8844204187393189,0.9709832668304443,137.06965193748474
14506,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,162,75,2,3,5,wide rec,16,5,5,0.5,65,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9251589298248291,0.8511917233467102,0.9074945449829102,0.9695066809654236,156.8636950969696
21446,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,78,18,2,3,5,wide rec,16,3,3,0.5,95,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,834,0.9316139936447143,0.8831595301628112,0.9057526230812073,0.9740278363227844,14.953957176208496
21666,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,90,18,2,3,5,wide rec,16,5,3,0.5,97,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,14,0.928869879245758,0.8684742212295532,0.9109843254089356,0.9727174639701843,9.908172655105592
