row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,row_idx_L1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align_L2,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
21446,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,78,18,2,3,5,wide rec,16,3,3,0.5,95,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,834,0.9316139936447143,0.8831595301628112,0.9057526230812073,0.9740278363227844,14.953957176208496,val_AUC
19996,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,82,18,2,3,3,square,16,4,3,0.5,89,3,3,square,16,2,1,0.5,16,adam,0.01,100,150,544,0.9207841515541076,0.8742779970169068,0.8832074999809265,0.9727313876152038,13.225993347167968,val_AUC
17846,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,76,18,2,3,3,square,16,3,3,0.5,80,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,114,0.9244677782058716,0.884756338596344,0.8855285167694091,0.9700790762901306,10.84911913871765,val_AUC
18066,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,0.5,81,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,158,0.918398642539978,0.847487211227417,0.8950557351112366,0.9666985869407654,15.03665051460266,val_AUC
18306,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,0.5,82,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,206,0.918398642539978,0.847487211227417,0.8950557351112366,0.9666985869407654,15.017306280136108,val_AUC
21666,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,90,18,2,3,5,wide rec,16,5,3,0.5,97,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,14,0.928869879245758,0.8684742212295532,0.9109843254089356,0.9727174639701843,9.908172655105592,val_AUC
25006,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,3,12,2,1,3,wide rec,16,3,3,0.5,111,3,1,long rec,16,2,2,0,16,adam,0.01,100,150,682,0.9290207028388977,0.8814606308937073,0.896585202217102,0.9716984272003174,8.87852053642273,val_AUC
24786,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,1,12,2,1,1,square,16,3,3,0.5,110,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,638,0.9263625741004944,0.877749764919281,0.8928958058357239,0.9711989879608154,8.537514972686768,val_AUC
23136,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,24,12,2,3,3,square,16,5,4,0.5,103,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,308,0.9230568051338196,0.8462252736091613,0.9161021113395691,0.9699970245361328,10.10971975326538,val_AUC
22336,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,113,18,2,1,5,wide rec,16,3,5,0.5,100,3,3,square,16,2,1,0,16,adam,0.01,100,150,148,0.9326483964920044,0.8635034203529358,0.9267138719558716,0.9683594584465027,11.119752073287964,val_AUC
1316,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,123,75,2,1,3,wide rec,16,5,3,0.5,6,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,264,0.9359248995780944,0.885768187046051,0.9154082059860229,0.9691284656524658,66.21668725013733,val_accuracy
1736,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,8,3,3,square,16,2,2,0,16,adam,0.01,100,150,348,0.9278550624847413,0.8947418570518494,0.8873356103897094,0.9662806272506714,73.02158308029175,val_accuracy
326,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,0.5,2,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.9273223876953125,0.8703210234642029,0.9005792260169982,0.9723696708679199,72.19631953239441,val_accuracy
806,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,148,75,2,3,3,square,16,3,5,0.5,4,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,162,0.9241029977798462,0.8677401900291443,0.8943909049034119,0.9667766451835632,74.61545639038086,val_accuracy
1046,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,148,75,2,3,3,square,16,3,5,0.5,5,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,210,0.9241029977798462,0.8677401900291443,0.8943909049034119,0.9667766451835632,74.92671570777892,val_accuracy
6061,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,115,75,2,1,1,square,16,4,3,0.5,28,1,1,square,16,2,1,0.5,16,adam,0.01,100,150,349,0.9372488498687744,0.8616772770881653,0.9334395170211792,0.9703143835067749,60.95522828102112,val_accuracy
5636,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,101,60,2,1,5,wide rec,16,4,5,0.5,26,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,264,0.9362909674644471,0.8774559736251831,0.9183667182922364,0.9672325372695922,52.9391010761261,val_accuracy
5826,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,0.5,27,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,302,0.9340169787406921,0.8925984501838684,0.8989714980125427,0.9743059992790222,54.09496335983276,val_accuracy
7281,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,125,75,2,1,5,wide rec,16,5,3,0.5,33,1,1,square,16,1,2,0.5,16,adam,0.01,100,150,593,0.9335663676261902,0.8566547274589539,0.9272666215896607,0.9669171690940856,85.74331674575805,val_accuracy
5146,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,41,45,2,1,5,wide rec,16,3,5,0.5,24,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,166,0.9268325448036194,0.8397646188735962,0.9256400108337403,0.9661074280738831,47.8289379119873,val_accuracy
9946,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,123,75,2,1,3,wide rec,16,5,3,0.5,44,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,262,0.9284421682357789,0.8778502106666565,0.8980947494506836,0.9701509356498719,127.53716020584106,val_accuracy
11591,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,138,75,2,3,5,wide rec,16,4,4,0.5,51,1,3,wide rec,16,2,1,0.5,16,adam,0.01,100,150,591,0.9174448370933532,0.8436680793762207,0.8920023679733277,0.9503703713417053,151.10968699455262,val_accuracy
10656,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,47,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,404,0.9170396089553833,0.8673326015472412,0.8737176775932312,0.9601242661476135,138.95497221946715,val_accuracy
