row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,row_idx_L1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align_L2,val_accuracy,val_recall,val_precision,val_AUC,compute_cost
8726,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,0.5,39,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,18,0.925155508518219,0.8788756132125854,0.8844204187393189,0.9709832668304443,137.06965193748474
8986,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,162,75,2,3,5,wide rec,16,5,5,0.5,40,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,70,0.8986219167709351,0.8982276082038879,0.8125198483467102,0.9673110365867614,94.98046727180481
10666,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,47,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,406,0.9146597385406494,0.8732143402099609,0.8634803414344787,0.9670772075653076,102.5205762386322
10906,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,48,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,454,0.9146597385406494,0.8732143402099609,0.8634803414344787,0.9670772075653076,104.69657158851624
9206,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,0.5,41,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,114,0.9065697431564331,0.8700072407722473,0.8527191877365112,0.9653876304626465,70.55808367729188
14506,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,162,75,2,3,5,wide rec,16,5,5,0.5,65,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9251589298248291,0.8511917233467102,0.9074945449829102,0.9695066809654236,156.8636950969696
13286,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,69,60,2,1,3,wide rec,16,5,3,0.5,60,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.919001579284668,0.8984193086624146,0.8592791080474853,0.9668256640434265,157.27015352249146
14026,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,99,60,2,1,3,wide rec,16,4,5,0.5,63,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,214,0.9239553451538086,0.8889371871948242,0.8778833150863647,0.9658070564270019,116.10334906578063
13551,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,34,45,2,3,3,square,16,5,4,0.5,61,1,3,wide rec,16,2,2,0.5,16,adam,0.01,100,150,119,0.9103276610374451,0.8734727740287781,0.8479628205299378,0.9655552268028259,90.65890274047851
16186,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,41,45,2,1,5,wide rec,16,3,5,0.5,72,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,646,0.9202053070068359,0.8592785477638245,0.8880372643470764,0.9623657941818238,119.67824883460999
21446,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,78,18,2,3,5,wide rec,16,3,3,0.5,95,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,834,0.9316139936447143,0.8831595301628112,0.9057526230812073,0.9740278363227844,14.953957176208496
19996,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,82,18,2,3,3,square,16,4,3,0.5,89,3,3,square,16,2,1,0.5,16,adam,0.01,100,150,544,0.9207841515541076,0.8742779970169068,0.8832074999809265,0.9727313876152038,13.225993347167968
17846,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,76,18,2,3,3,square,16,3,3,0.5,80,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,114,0.9244677782058716,0.884756338596344,0.8855285167694091,0.9700790762901306,10.84911913871765
18066,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,0.5,81,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,158,0.918398642539978,0.847487211227417,0.8950557351112366,0.9666985869407654,15.03665051460266
18306,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,0.5,82,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,206,0.918398642539978,0.847487211227417,0.8950557351112366,0.9666985869407654,15.017306280136108
21666,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,90,18,2,3,5,wide rec,16,5,3,0.5,97,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,14,0.928869879245758,0.8684742212295532,0.9109843254089356,0.9727174639701843,9.908172655105592
25006,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,3,12,2,1,3,wide rec,16,3,3,0.5,111,3,1,long rec,16,2,2,0,16,adam,0.01,100,150,682,0.9290207028388977,0.8814606308937073,0.896585202217102,0.9716984272003174,8.87852053642273
24786,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,1,12,2,1,1,square,16,3,3,0.5,110,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,638,0.9263625741004944,0.877749764919281,0.8928958058357239,0.9711989879608154,8.537514972686768
23136,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,24,12,2,3,3,square,16,5,4,0.5,103,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,308,0.9230568051338196,0.8462252736091613,0.9161021113395691,0.9699970245361328,10.10971975326538
22336,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,113,18,2,1,5,wide rec,16,3,5,0.5,100,3,3,square,16,2,1,0,16,adam,0.01,100,150,148,0.9326483964920044,0.8635034203529358,0.9267138719558716,0.9683594584465027,11.119752073287964
