"","epoch_type","config","seed_split","m","step_size","kernel_size_h","kernel_size_w","kernel_shape","num_kernel","pool_size_h","pool_size_w","fcl_size","dropout","optimizer","learning_rate","batch_size","num_epoch"
"58","30s",12,7,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"59","30s",12,155,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"60","30s",12,642,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"61","30s",13,890,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"62","30s",13,9818,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"63","30s",13,7,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"64","30s",13,155,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"65","30s",13,642,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"66","30s",14,890,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"67","30s",14,9818,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"68","30s",14,7,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"69","30s",14,155,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"70","30s",14,642,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"71","30s",15,890,45,2,1,3,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"72","30s",15,9818,45,2,1,3,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"73","30s",15,7,45,2,1,3,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"74","30s",15,155,45,2,1,3,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"75","30s",15,642,45,2,1,3,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"76","30s",16,890,45,2,3,3,"square",16,5,3,16,0.5,"adam",0.001,100,150
"77","30s",16,9818,45,2,3,3,"square",16,5,3,16,0.5,"adam",0.001,100,150
"78","30s",16,7,45,2,3,3,"square",16,5,3,16,0.5,"adam",0.001,100,150
"79","30s",16,155,45,2,3,3,"square",16,5,3,16,0.5,"adam",0.001,100,150
"80","30s",16,642,45,2,3,3,"square",16,5,3,16,0.5,"adam",0.001,100,150
"81","30s",17,890,45,2,1,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"82","30s",17,9818,45,2,1,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"83","30s",17,7,45,2,1,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"84","30s",17,155,45,2,1,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"85","30s",17,642,45,2,1,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"86","30s",18,890,45,2,3,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"87","30s",18,9818,45,2,3,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
