row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h,kernel_size_w,kernel_shape,num_kernel,pool_size_h,pool_size_w,fcl_size,dropout,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost
13062,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,264,0.9159422874450683,0.859127652645111,0.8796575903892517,0.9669834017753601,52.493521976470944
9749,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,29,45,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,353,0.9213824510574341,0.8790758967399597,0.8775285005569458,0.9649775266647339,39.362649822235106
4205,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,155,0.9162825226783753,0.8554009437561035,0.8774707794189454,0.9617998719215393,90.42294945716858
3251,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,11,45,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,659,0.9204051256179809,0.8541629552841187,0.8883951902389526,0.961497449874878,71.31086559295655
19444,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,94,18,2,3,3,square,16,3,4,16,0.5,adam,0.001,100,150,94,0.9193815588951111,0.8541244029998779,0.8966978192329407,0.9687283992767334,9.417377376556397
18810,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,90,18,2,3,5,wide rec,16,5,3,16,0.5,adam,0.001,100,150,594,0.9242239356040954,0.8674879312515259,0.8998080968856812,0.9706293106079101,8.341824579238892
