row_idx,align,l,modal,epoch_type,hr,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,conv_layer
326,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,60,2,3,5,wide rec,16,4,5,0.5,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.9273223876953124,0.8703210234642029,0.9005792260169982,0.97236967086792,72.19631953239441,2 layers
5866,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,75,2,3,3,square,16,5,3,0.5,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9317652463912964,0.8670845031738281,0.9153009176254272,0.9744688034057616,69.56135210990905,2 layers
8726,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,75,2,1,5,wide rec,16,4,5,0.5,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,18,0.925155508518219,0.8788756132125854,0.8844204187393189,0.9709832668304444,137.06965193748474,2 layers
14506,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,75,2,3,5,wide rec,16,5,5,0.5,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9251589298248292,0.8511917233467102,0.9074945449829102,0.9695066809654236,156.8636950969696,2 layers
21446,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,18,2,3,5,wide rec,16,3,3,0.5,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,834,0.9316139936447144,0.8831595301628112,0.9057526230812072,0.9740278363227844,14.953957176208496,2 layers
21666,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,18,2,3,5,wide rec,16,5,3,0.5,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,14,0.928869879245758,0.8684742212295532,0.9109843254089356,0.9727174639701844,9.908172655105592,2 layers
