epoch,hr,seed_split,seed_model,feature,rank
30s,1,155,29,temp_q3,14
30s,1,155,29,hr_q3,15
30s,1,155,29,hr_q1,16
30s,1,155,29,temp_mean,17
30s,1,155,29,hr_q2,18
30s,1,155,29,temp_q2,19
30s,1,642,29,hourofday,1
30s,1,642,29,age,2
30s,1,642,29,acc_mean,3
30s,1,642,29,acc_q1,4
30s,1,642,29,acc_sd,5
30s,1,642,29,temp_sd,6
30s,1,642,29,acc_q2,7
30s,1,642,29,sex,8
30s,1,642,29,acc_q3,9
30s,1,642,29,hr_sd,10
30s,1,642,29,eda_cat,11
30s,1,642,29,hr_q3,12
30s,1,642,29,temp_q3,13
30s,1,642,29,temp_q1,14
30s,1,642,29,hr_mean,15
30s,1,642,29,temp_q2,16
30s,1,642,29,temp_mean,17
30s,1,642,29,hr_q1,18
30s,1,642,29,hr_q2,19
30s,1,890,1349,hourofday,1
30s,1,890,1349,age,2
30s,1,890,1349,acc_q1,3
30s,1,890,1349,acc_sd,4
30s,1,890,1349,acc_mean,5
30s,1,890,1349,acc_q2,6
30s,1,890,1349,sex,7
30s,1,890,1349,temp_sd,8
30s,1,890,1349,acc_q3,9
30s,1,890,1349,hr_sd,10
30s,1,890,1349,eda_cat,11
30s,1,890,1349,hr_q3,12
30s,1,890,1349,temp_q3,13
30s,1,890,1349,temp_q1,14
30s,1,890,1349,hr_mean,15
30s,1,890,1349,temp_mean,16
30s,1,890,1349,temp_q2,17
30s,1,890,1349,hr_q1,18
30s,1,890,1349,hr_q2,19
30s,1,9818,1349,hourofday,1
30s,1,9818,1349,age,2
30s,1,9818,1349,acc_q1,3
30s,1,9818,1349,temp_sd,4
30s,1,9818,1349,sex,5
30s,1,9818,1349,acc_sd,6
30s,1,9818,1349,acc_mean,7
30s,1,9818,1349,acc_q2,8
30s,1,9818,1349,acc_q3,9
30s,1,9818,1349,hr_sd,10
30s,1,9818,1349,eda_cat,11
30s,1,9818,1349,hr_q3,12
30s,1,9818,1349,temp_q3,13
30s,1,9818,1349,temp_q1,14
30s,1,9818,1349,hr_mean,15
30s,1,9818,1349,hr_q1,16
30s,1,9818,1349,temp_q2,17
30s,1,9818,1349,temp_mean,18
30s,1,9818,1349,hr_q2,19
30s,1,7,1349,hourofday,1
30s,1,7,1349,age,2
30s,1,7,1349,acc_sd,3
30s,1,7,1349,acc_q2,4
30s,1,7,1349,acc_q1,5
30s,1,7,1349,acc_mean,6
30s,1,7,1349,temp_sd,7
30s,1,7,1349,acc_q3,8
30s,1,7,1349,sex,9
30s,1,7,1349,hr_sd,10
30s,1,7,1349,eda_cat,11
30s,1,7,1349,hr_q3,12
30s,1,7,1349,temp_q3,13
30s,1,7,1349,hr_mean,14
30s,1,7,1349,temp_q1,15
30s,1,7,1349,temp_q2,16
30s,1,7,1349,hr_q1,17
30s,1,7,1349,temp_mean,18
30s,1,7,1349,hr_q2,19
30s,1,155,1349,hourofday,1
30s,1,155,1349,age,2
30s,1,155,1349,acc_q1,3
30s,1,155,1349,acc_mean,4
30s,1,155,1349,temp_sd,5
30s,1,155,1349,acc_sd,6
30s,1,155,1349,acc_q2,7
30s,1,155,1349,acc_q3,8
30s,1,155,1349,sex,9
30s,1,155,1349,hr_sd,10
30s,1,155,1349,eda_cat,11
30s,1,155,1349,hr_mean,12
30s,1,155,1349,temp_q3,13
30s,1,155,1349,hr_q3,14
30s,1,155,1349,temp_q1,15
30s,1,155,1349,temp_mean,16
