seed_split,align,l,modal,var_lst,epoch,hr
890,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,age,acc_sd,acc_q2,temp_sd,acc_q3,acc_q1,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
9818,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
7,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,age,acc_sd,temp_sd,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
155,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,acc_q1,age,acc_q2,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
642,4,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",30s,FALSE
890,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,age,acc_sd,acc_q2,temp_sd,acc_q3,acc_q1,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
9818,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
7,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,age,acc_sd,temp_sd,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
155,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,acc_q1,age,acc_q2,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
642,5,14,"hourofday,age,sex,temp,acc,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",30s,FALSE
890,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_q1,acc_mean,acc_sd,acc_q3,sex,acc_q2,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q3,hr_q1,temp_q1,temp_mean,hr_q2",1min,TRUE
9818,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_q2,sex,acc_mean,acc_q3,hr_sd,eda_cat,hr_mean,hr_q3,hr_q1,temp_q2,temp_q1,temp_q3,hr_q2,temp_mean",1min,TRUE
7,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_sd,acc_q1,acc_q2,acc_mean,acc_q3,sex,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,hr_q1,temp_q3,temp_mean,temp_q1,hr_q2",1min,TRUE
155,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,hr_mean,eda_cat,hr_q3,hr_q1,temp_q1,temp_q2,temp_q3,hr_q2,temp_mean",1min,TRUE
642,1,19,"hourofday,age,sex,eda,acc,temp,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q1,hr_q1,temp_q3,temp_mean,hr_q2",1min,TRUE
890,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_q1,acc_mean,acc_sd,acc_q3,sex,acc_q2,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q3,hr_q1,temp_q1,temp_mean,hr_q2",1min,TRUE
9818,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_q2,sex,acc_mean,acc_q3,hr_sd,eda_cat,hr_mean,hr_q3,hr_q1,temp_q2,temp_q1,temp_q3,hr_q2,temp_mean",1min,TRUE
7,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_sd,acc_q1,acc_q2,acc_mean,acc_q3,sex,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,hr_q1,temp_q3,temp_mean,temp_q1,hr_q2",1min,TRUE
155,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,hr_mean,eda_cat,hr_q3,hr_q1,temp_q1,temp_q2,temp_q3,hr_q2,temp_mean",1min,TRUE
642,2,19,"hourofday,age,sex,temp,acc,eda,hr","hourofday,age,temp_sd,acc_q1,acc_sd,acc_mean,acc_q2,sex,acc_q3,hr_sd,eda_cat,hr_q3,hr_mean,temp_q2,temp_q1,hr_q1,temp_q3,temp_mean,hr_q2",1min,TRUE
