configuration,val_accuracy,val_recall,val_precision,val_AUC,compute_cost
1,0.9080370664596558,0.8793969750404358,0.8313539028167725,0.9552660584449768,11.427941083908081
2,0.9095826745033264,0.8743718862533569,0.8385542035102844,0.9554117918014526,12.838152170181274
3,0.9049459099769592,0.876884400844574,0.8250591158866882,0.9555436968803406,8.227734804153442
4,0.9211746454238892,0.856783926486969,0.8834196925163269,0.9577491879463196,11.314323902130127
5,0.9204018712043762,0.8718593120574951,0.8696742057800293,0.9563723206520081,12.053411960601807
6,0.9219474792480469,0.8668341636657715,0.8778625726699829,0.9565895199775696,10.885679006576538
7,0.9227202534675598,0.8668341636657715,0.8801020383834839,0.9564930200576782,17.118573904037476
8,0.9227202534675598,0.876884400844574,0.8725000023841858,0.9569106101989746,16.868282794952393
9,0.9049459099769592,0.8819095492362976,0.8220140337944031,0.9569106101989746,12.316193103790283
10,0.9142194986343384,0.8743718862533569,0.8508557677268982,0.9568139314651489,10.819120168685913
11,0.9080370664596558,0.8592965006828308,0.8444444537162781,0.9520215392112732,19.41497278213501
12,0.9018546938896179,0.8743718862533569,0.818823516368866,0.9507498145103455,14.82351303100586
13,0.9103555083274841,0.8919597864151001,0.8294392228126526,0.9636211395263672,12.926090002059937
14,0.9080370664596558,0.8643215894699097,0.8410757780075073,0.9585538506507874,11.322412014007568
15,0.9296754002571106,0.8743718862533569,0.8946015238761902,0.9602644443511963,13.16567087173462
16,0.9289026260375977,0.8592965006828308,0.9047619104385376,0.9569457769393921,15.144874811172485
17,0.9034003019332886,0.8894472122192383,0.8137931227684021,0.9529104828834534,7.687548875808716
18,0.8987635374069214,0.8894472122192383,0.8027210831642151,0.953722357749939,9.513543128967285
19,0.8995363116264343,0.8819095492362976,0.8087557554244995,0.9517313241958618,14.170912981033325
20,0.8979907035827637,0.8819095492362976,0.8050458431243896,0.9529932141304016,10.334142923355103
21,0.9057186841964722,0.8844221234321594,0.822429895401001,0.9571153521537781,19.433637142181396
22,0.9258114099502563,0.8693467378616333,0.8871794939041138,0.9586942195892334,11.49032711982727
23,0.9281298518180847,0.8718593120574951,0.8920308351516724,0.9573691487312317,14.149641990661621
24,0.9204018712043762,0.876884400844574,0.86600494384765625,0.9574393033981323,21.81121802330017
25,0.9180834889411926,0.8718593120574951,0.8631840944290161,0.956368088722229,9.392210006713867
26,0.9064915180206299,0.8819095492362976,0.8258823752403259,0.9530507326126099,10.6859769821167
27,0.9157650470733643,0.8643215894699097,0.8621553778648376,0.9517635703086853,10.043301105499268
28,0.91190105676651,0.8743718862533569,0.844660222530365,0.9511956572532654,9.920142889022827
29,0.8987635374069214,0.9045225977897644,0.7947019934654236,0.9635328054428101,7.60624885559082
30,0.9304482340812683,0.8592965006828308,0.9095744490623474,0.9562825560569763,12.914884090423584
31,0.9258114099502563,0.8819095492362976,0.8774999976158142,0.9624266028404236,12.466806888580322
32,0.9196290373802185,0.8793969750404358,0.8620689511299133,0.9587558507919312,18.408595085144043
